"","pn","ay","out_cit"
"1","US3620640",1970,"US3230702"
"2","US3620640",1970,"US3011762"
"3","US3620640",1970,"US3447741"
"4","US3703081",1970,"US3391540"
"5","US3703081",1970,"US2722373"
"6","US3703081",1970,"US2416389"
"7","US3703081",1970,"US2244467"
"8","US3703081",1970,"US3122886"
"9","US3703081",1970,"US3589132"
"10","US3703081",1970,"US3448582"
"11","US3703081",1970,"US3534557"
"12","US3703081",1970,"GB876862A"
"13","US3703081",1970,"US3390527"
"14","US3703081",1970,"US3269114"
"15","US3703081",1970,"US3325088"
"16","US3703081",1970,"US3088278"
"17","US4279123",1978,"US4013376"
"18","US4279123",1978,"US3957391"
"19","US4279123",1978,"US3777484"
"20","US4279123",1978,"US3992126"
"21","US4279123",1978,"US4019320"
"22","US4525998",1982,"US4101242"
"23","US4525998",1982,"US4019320"
"24","US4525998",1982,"US3304054"
"25","US4525998",1982,"US4213296"
"26","US4525998",1982,"US4230439"
"27","US4525998",1982,"US4279123"
"28","US4525998",1982,"US4069662"
"29","US4525998",1982,"US4304093"
"30","US4542623",1983,"US2474258"
"31","US4542623",1983,"US4254618"
"32","US4542623",1983,"US2625009"
"33","US4542623",1983,"US3378104"
"34","US4542623",1983,"US4151710"
"35","US4542623",1983,"US3884041"
"36","US4542623",1983,"US3781129"
"37","US4542623",1983,"GB1095129A"
"38","US4542623",1983,"US3527054"
"39","US4561246",1983,"US2886133"
"40","US4561246",1983,"US3378104"
"41","US4561246",1983,"US3884041"
"42","US4561246",1983,"US3527054"
"43","US4561246",1983,"US4254618"
"44","US4561246",1983,"GB1095129A"
"45","US4561246",1983,"US4046223"
"46","US4561246",1983,"US4153141"
"47","US4825648",1987,"US4037809"
"48","US4825648",1987,"US4683717"
"49","US4825648",1987,"US2863620"
"50","US4825648",1987,"US4044973"
"51","US4825648",1987,"US4055041"
"52","US4825648",1987,"EP0147848A2"
"53","US4825648",1987,"GB1318748A"
"54","US4825648",1987,"EP0148809A2"
"55","US4825648",1987,"US4585189"
"56","US4825648",1987,"GB1520759A"
"57","US4825648",1987,"US4043522"
"58","US4825648",1987,"US2879959"
"59","US4825648",1987,"US3541794"
"60","US4841726",1986,"US4023919"
"61","US4841726",1986,"US4217755"
"62","US4841726",1986,"US4069662"
"63","US4841726",1986,"US4576547"
"64","US4841726",1986,"US4337016"
"65","US4841726",1986,"DE2654300A1"
"66","US4841726",1986,"US3365172"
"67","US4841726",1986,"US4271666"
"68","US4841726",1986,"US4304093"
"69","US4841726",1986,"US4338061"
"70","US4841726",1986,"US3108767"
"71","US4841726",1986,"GB695482A"
"72","US4841726",1986,"FR1372176A"
"73","US4841726",1986,"US4474001"
"74","US4841726",1986,"US3583824"
"75","US4841726",1986,"US4541775"
"76","US4841726",1986,"US3975901"
"77","US4926633",1989,"US4813229"
"78","US4926633",1989,"US4643356"
"79","US4926633",1989,"US4165609"
"80","US4926633",1989,"US3611724"
"81","US4926633",1989,"US3091924"
"82","US4926633",1989,"US4742961"
"83","US4926633",1989,"US4355507"
"84","US4926633",1989,"US2925072"
"85","US4926633",1989,"US4215536"
"86","US4926633",1989,"US3927522"
"87","US5157915",1991,"US4147029"
"88","US5157915",1991,"FR2309402A1"
"89","US5157915",1991,"US4055041"
"90","US5157915",1991,"US3511055"
"91","US5157915",1991,"EP0314568A1"
"92","US5157915",1991,"US4940196"
"93","US5157915",1991,"FR2560854A1"
"94","US5157915",1991,"FR2379433A1"
"95","US5157915",1991,"US4037809"
"96","US5771680",1995,"US4969623"
"97","US5771680",1995,"US3757827"
"98","US5771680",1995,"US3793827"
"99","US5771680",1995,"US5556677"
"100","US5771680",1995,"US3272686"
"101","US5771680",1995,"US5315820"
"102","US5771680",1995,"US3693354"
"103","US5771680",1995,"US5182906"
"104","US5771680",1995,"US3257253"
"105","US5771680",1995,"US4063847"
"106","US5771680",1995,"US5305599"
"107","US5771680",1995,"US4968546"
"108","US5771680",1995,"US5222360"
"109","US5771680",1995,"US2688327"
"110","US5771680",1995,"US2898940"
"111","US5771680",1995,"US5251435"
"112","US5771680",1995,"US4880681"
"113","US5771680",1995,"US3018205"
"114","US5771680",1995,"US4961685"
"115","US5771680",1995,"US4285194"
"116","US5771680",1995,"US5038834"
"117","US5771680",1995,"US5211007"
"118","US5771680",1995,"US3013315"
"119","US5771680",1995,"US3617416"
"120","US5771680",1995,"USR30489"
"121","US5771680",1995,"US3210233"
"122","US5771680",1995,"US5313788"
"123","US5771680",1995,"US3134705"
"124","US6619030",2002,"US5177957"
"125","US6619030",2002,"US4965994"
"126","US6619030",2002,"US5746574"
"127","US6619030",2002,"US5361580"
"128","US6619030",2002,"US5409184"
"129","US6619030",2002,"US4976102"
"130","US6619030",2002,"US5292227"
"131","US6619030",2002,"US6439841"
"132","US6619030",2002,"US4951461"
"133","US6619030",2002,"US5452575"
"134","US6619030",2002,"US5307622"
