"","pn","ay","out_cit"
"1","US10337404",2010,"US20080131260A1"
"2","US10337404",2010,"US20080317585A1"
"3","US10337404",2010,"US20030113201A1"
"4","US10337404",2010,"US7140835"
"5","US10337404",2010,"JP1987121835A"
"6","US10337404",2010,"US6390769"
"7","US10337404",2010,"WO2009083456A2"
"8","US10337404",2010,"US7387488"
"9","US10337404",2010,"US7836703"
"10","US10337404",2010,"US6079943"
"11","US10337404",2010,"US7101150"
"12","US10337404",2010,"US7296967"
"13","US10337404",2010,"US8205458"
"14","US10337404",2010,"US6929446"
"15","US10337404",2010,"US6840048"
"16","US10337404",2010,"JP2003322003A"
"17","US10337404",2010,"JP1998331659A"
"18","US10337404",2010,"US20110217159A1"
"19","US10337404",2010,"US7121787"
"20","US10337404",2010,"JP1999117705A"
"21","US10337404",2010,"US6382906"
"22","US10337404",2010,"US6554562"
"23","US10337404",2010,"JP2003184506A"
"24","US10337404",2010,"US6142734"
"25","US10337404",2010,"US6887033"
"26","US10337404",2010,"US5813832"
"27","US10337404",2010,"US7588412"
"28","US10337404",2010,"US20100232944A1"
"29","US10337404",2010,"US20050254944A1"
"30","US10337404",2010,"US6609880"
"31","US10337404",2010,"US6065928"
"32","US10337404",2010,"US7604453"
"33","US10337404",2010,"US6071363"
"34","US10337404",2010,"US6929445"
"35","US10337404",2010,"US7121796"
"36","US10337404",2010,"US7008178"
"37","US10337404",2010,"CN1497217A"
"38","US10337404",2010,"EP1213444A2"
"39","US10337404",2010,"US7503749"
"40","US10337404",2010,"US7147432"
"41","US10337404",2010,"US7303372"
"42","US10337404",2010,"US4733538"
"43","US10337404",2010,"JP2008139011A"
"44","US10337404",2010,"US7377742"
"45","US10337404",2010,"US7341427"
"46","US10337404",2010,"US6250061"
"47","US10337404",2010,"CN101328814A"
"48","US10337404",2010,"US7625170"
"49","US10337404",2010,"US6572330"
"50","US10337404",2010,"US7029228"
"51","US10337404",2010,"US20100129196A1"
"52","US10337404",2010,"EP1927725A2"
"53","US2427244",1944,"GB354888A"
"54","US2427244",1944,"US2225769"
"55","US2445661",1944,"US1346509"
"56","US2445661",1944,"US2326072"
"57","US2445661",1944,"US2282894"
"58","US2445661",1944,"US2080425"
"59","US2445661",1944,"US1331766"
"60","US2584899",1946,"US2445661"
"61","US2584899",1946,"US2472062"
"62","US2584899",1946,"US1680737"
"63","US2584899",1946,"US1960810"
"64","US2584899",1946,"US1873743"
"65","US2584899",1946,"GB542197A"
"66","US2584899",1946,"US1325135"
"67","US2584899",1946,"GB243974A"
"68","US2584899",1946,"US2241782"
"69","US2584899",1946,"FR583702A"
"70","US2584899",1946,"FR29236E"
"71","US2606741",1949,"US2527445"
"72","US2606741",1949,"US2432315"
"73","US2606741",1949,"US2564503"
"74","US2606741",1949,"US2488875"
"75","US2606741",1949,"US1378464"
"76","US2606741",1949,"DE687108A"
"77","US2606741",1949,"DE696062A"
"78","US2606741",1949,"US2427244"
"79","US2622843",1947,"US2459935"
"80","US2622843",1947,"US2415104"
"81","US2622843",1947,"US2429936"
"82","US2622843",1947,"US2445661"
"83","US2622843",1947,"CH111008A"
"84","US2622843",1947,"US2412365"
"85","US2625367",1950,"US2427244"
"86","US2625367",1950,"US2417486"
"87","US2625367",1950,"US2402418"
"88","US2625793",1949,"US2488783"
"89","US2625793",1949,"US2479777"
"90","US2625793",1949,"DE696062A"
"91","US2625793",1949,"US2445661"
"92","US2625793",1949,"US2489683"
"93","US2625793",1949,"US2432359"
"94","US2625793",1949,"DE687108A"
"95","US2738949",1951,"DE383506A"
"96","US2738949",1951,"US2488867"
"97","US2738949",1951,"US2625367"
"98","US2738949",1951,"GB617472A"
"99","US2738949",1951,"GB359350A"
"100","US2738949",1951,"US2606741"
"101","US2738949",1951,"US2319846"
"102","US2738949",1951,"US2488875"
"103","US2782002",1952,"GB190926713A"
"104","US2782002",1952,"US1679496"
"105","US2782002",1952,"US1490907"
"106","US2782002",1952,"US0987842"
"107","US2782002",1952,"US1809666"
"108","US2782002",1952,"US1550193"
"109","US2793832",1952,"US2506581"
"110","US2793832",1952,"US2445661"
"111","US2793832",1952,"US2563269"
"112","US2793832",1952,"US2584899"
"113","US2793832",1952,"US2625367"
"114","US2793832",1952,"US2640319"
"115","US2793832",1952,"US2625013"
"116","US2793832",1952,"US2625793"
"117","US2793832",1952,"US2567249"
"118","US2793832",1952,"US2599470"
"119","US2807433",1953,"US2622843"
"120","US2833514",1954,"CA491905A"
"121","US2833514",1954,"CA491904A"
"122","US2833514",1954,"GB619107A"
"123","US2833514",1954,"GB602530A"
"124","US2833514",1954,"FR1021265A"
"125","US2836393",1956,"US2738949"
"126","US2836393",1956,"US2640319"
"127","US2836393",1956,"US2741455"
"128","US2847185",1954,"US2648520"
"129","US2847185",1954,"US2779565"
"130","US2847185",1954,"US2556736"
"131","US2847185",1954,"US2514105"
"132","US2847185",1954,"FR897709A"
"133","US2847185",1954,"US2568726"
"134","US2847185",1954,"CA491903A"
"135","US2847185",1954,"US2647368"
"136","US2847185",1954,"US2533078"
"137","US2847185",1954,"GB602530A"
"138","US2847185",1954,"FR1007303A"
"139","US2847185",1954,"US2447095"
"140","US2847185",1954,"GB666536A"
"141","US2849209",1950,"US2488875"
"142","US2849209",1950,"GB602530A"
"143","US2849209",1950,"US2279258"
"144","US2849209",1950,"US2559131"
"145","US2849209",1950,"FR341486A"
"146","US2849209",1950,"US2585871"
"147","US2849209",1950,"US2625793"
"148","US2849209",1950,"US2417486"
"149","US2849209",1950,"SE107788C1"
"150","US2849209",1950,"US1266973"
"151","US2859934",1954,"US2584899"
"152","US2859934",1954,"GB676314A"
"153","US2859934",1954,"US2625793"
"154","US2859934",1954,"US2685429"
"155","US2859934",1954,"US2625013"
"156","US2859934",1954,"US2625367"
"157","US2859934",1954,"US2651492"
"158","US2917276",1955,"US2639579"
"159","US2917276",1955,"FR823442A"
"160","US2917276",1955,"US2488867"
"161","US2917276",1955,"US2584899"
"162","US2917276",1955,"GB679916A"
"163","US2917276",1955,"GB723505A"
"164","US2917276",1955,"US2110679"
"165","US2917276",1955,"GB586562A"
"166","US2917276",1955,"GB715145A"
"167","US2917276",1955,"CA491575A"
"168","US2917276",1955,"US2640679"
"169","US2917276",1955,"GB660383A"
"170","US2917276",1955,"US2710523"
"171","US2917276",1955,"GB572859A"
"172","US2917276",1955,"GB689270A"
"173","US2980396",1959,"GB760884A"
"174","US2980396",1959,"US2654566"
"175","US2980396",1959,"GB777835A"
"176","US2996279",1956,"US2772856"
"177","US2996279",1956,"GB548649A"
"178","US2996279",1956,"US2799473"
"179","US2996279",1956,"US2772069"
"180","US2996279",1956,"US1910943"
"181","US2996279",1956,"US2392281"
"182","US2996279",1956,"CH224737A"
"183","US2996279",1956,"US2720356"
"184","US2996279",1956,"US2606742"
"185","US2996279",1956,"US2738949"
"186","US2996279",1956,"US2579583"
"187","US2996279",1956,"US1998951"
"188","US2996279",1956,"US2671634"
"189","US2996279",1956,"GB622767A"
"190","US2997275",1959,"US2625013"
"191","US2997275",1959,"US2488867"
"192","US2997275",1959,"US2467168"
"193","US2997275",1959,"US2772069"
"194","US2997275",1959,"US2903237"
"195","US3075744",1960,"US2937000"
"196","US3075744",1960,"US2862654"
"197","US3075744",1960,"US2972441"
"198","US3075744",1960,"US2859934"
"199","US3075744",1960,"US2851246"
"200","US3075744",1960,"US2910269"
"201","US3075744",1960,"US2984454"
"202","US3075744",1960,"US2793832"
"203","US3199294",1962,"US2950084"
"204","US3199294",1962,"US3115011"
"205","US3199294",1962,"US2622843"
"206","US3199294",1962,"US2625013"
"207","US3199294",1962,"US2807433"
"208","US3199294",1962,"US2895295"
"209","US3199294",1962,"US2856755"
"210","US3199294",1962,"US2244467"
"211","US3199294",1962,"US3014694"
"212","US3199294",1962,"US3088279"
"213","US3263963",1964,"DE148611A"
"214","US3263963",1964,"US1656006"
"215","US3263963",1964,"FR894567A"
"216","US3263963",1964,"US1248168"
"217","US3263963",1964,"US2945960"
"218","US3269702",1964,"US2658719"
"219","US3269702",1964,"US2999670"
"220","US3269702",1964,"US3026087"
"221","US3269702",1964,"US3042367"
"222","US3269702",1964,"US2833463"
"223","US3269702",1964,"CA626485A"
"224","US3269702",1964,"FR1227668A"
"225","US3275294",1963,"GB787666A"
"226","US3275294",1963,"US2530908"
"227","US3275294",1963,"FR980869A"
"228","US3275294",1963,"FR1340752A"
"229","US3295823",1965,"GB787666A"
"230","US3295823",1965,"FR980869A"
"231","US3295823",1965,"US2836393"
"232","US3295823",1965,"US2962256"
"233","US3295823",1965,"FR1194770A"
"234","US3301526",1964,"DE1064757B"
"235","US3301526",1964,"US0730363"
"236","US3301526",1964,"US3163397"
"237","US3301526",1964,"US2853271"
"238","US3302926",1965,"US2945671"
"239","US3302926",1965,"US2799473"
"240","US3302926",1965,"US2510606"
"241","US3302926",1965,"US2488875"
"242","US3302926",1965,"US2942844"
"243","US3302926",1965,"FR1326037A"
"244","US3302926",1965,"US2675672"
"245","US3302926",1965,"GB790280A"
"246","US3302926",1965,"US3142475"
"247","US3302926",1965,"US2543355"
"248","US3306575",1965,"US2149510"
"249","US3306575",1965,"US1864352"
"250","US3306575",1965,"US3123283"
"251","US3306575",1965,"US3002725"
"252","US3306575",1965,"FR1115125A"
"253","US3314648",1961,"US2800273"
"254","US3314648",1961,"US2937000"
"255","US3314648",1961,"US2625793"
"256","US3314648",1961,"US2968467"
"257","US3314648",1961,"US2851246"
"258","US3314648",1961,"US2847185"
"259","US3314648",1961,"US2445661"
"260","US3321179",1965,"GB243027A"
"261","US3321179",1965,"DE740440A"
"262","US3321179",1965,"US2488975"
"263","US3321179",1965,"US2606741"
"264","US3321179",1965,"US2296702"
"265","US3321179",1965,"US2710523"
"266","US3321179",1965,"US2686653"
"267","US3321179",1965,"US2628067"
"268","US3321179",1965,"US2401826"
"269","US3321179",1965,"US2789787"
"270","US3321179",1965,"US3074690"
"271","US3353351",1965,"US3242674"
"272","US3353351",1965,"US2847185"
"273","US3362681",1966,"US2978168"
"274","US3362681",1966,"DE872697A"
"275","US3362681",1966,"US2741455"
"276","US3362681",1966,"DE1038343B"
"277","US3393894",1966,"US2638743"
"278","US3393894",1966,"US2859934"
"279","US3393894",1966,"US2220918"
"280","US3393894",1966,"US2310412"
"281","US3393894",1966,"US1423466"
"282","US3393894",1966,"US2651496"
"283","US3393894",1966,"US3004750"
"284","US3393894",1966,"US3295825"
"285","US3393894",1966,"US2857132"
"286","US3423071",1967,"US3363416"
"287","US3423071",1967,"US3365173"
"288","US3423071",1967,"US2937000"
"289","US3423071",1967,"US2605997"
"290","US3423071",1967,"US2984454"
"291","US3423071",1967,"US3075744"
"292","US3423071",1967,"US2628067"
"293","US3423071",1967,"US3062499"
"294","US3427000",1966,"US2836393"
"295","US3427000",1966,"US3295823"
"296","US3427000",1966,"GB961588A"
"297","US3427000",1966,"FR980869A"
"298","US3427000",1966,"US3275294"
"299","US3427000",1966,"US3362160"
"300","US3427000",1966,"GB1010300A"
"301","US3433015",1965,"US2884759"
"302","US3433015",1965,"US2625011"
"303","US3433015",1965,"US3316714"
"304","US3443791",1966,"US3295824"
"305","US3443791",1966,"US3300180"
"306","US3443791",1966,"US3301526"
"307","US3443791",1966,"US2916874"
"308","US3443791",1966,"US3351319"
