"","pn","ay","out_cit"
"1","US10337404",2010,"EP1213444A2"
"2","US10337404",2010,"US6572330"
"3","US10337404",2010,"US6887033"
"4","US10337404",2010,"WO2009083456A2"
"5","US10337404",2010,"JP2003184506A"
"6","US10337404",2010,"US6609880"
"7","US10337404",2010,"US20080317585A1"
"8","US10337404",2010,"US20030113201A1"
"9","US10337404",2010,"US20080131260A1"
"10","US10337404",2010,"US6382906"
"11","US10337404",2010,"US7588412"
"12","US10337404",2010,"US20100129196A1"
"13","US10337404",2010,"US7503749"
"14","US10337404",2010,"US20100232944A1"
"15","US10337404",2010,"JP2008139011A"
"16","US10337404",2010,"US7377742"
"17","US10337404",2010,"CN101328814A"
"18","US10337404",2010,"US7387488"
"19","US10337404",2010,"JP2003322003A"
"20","US10337404",2010,"US7147432"
"21","US10337404",2010,"US7341427"
"22","US10337404",2010,"US8205458"
"23","US10337404",2010,"US7140835"
"24","US10337404",2010,"US7029228"
"25","US10337404",2010,"US7101150"
"26","US10337404",2010,"US6079943"
"27","US10337404",2010,"JP1999117705A"
"28","US10337404",2010,"US7121796"
"29","US10337404",2010,"US7008178"
"30","US10337404",2010,"CN1497217A"
"31","US10337404",2010,"US6929445"
"32","US10337404",2010,"US6071363"
"33","US10337404",2010,"US7121787"
"34","US10337404",2010,"US6142734"
"35","US10337404",2010,"EP1927725A2"
"36","US10337404",2010,"US7296967"
"37","US10337404",2010,"US20110217159A1"
"38","US10337404",2010,"JP1998331659A"
"39","US10337404",2010,"US7836703"
"40","US10337404",2010,"US7604453"
"41","US10337404",2010,"US6250061"
"42","US10337404",2010,"US7625170"
"43","US10337404",2010,"US6554562"
"44","US10337404",2010,"US5813832"
"45","US10337404",2010,"US7303372"
"46","US10337404",2010,"US6065928"
"47","US10337404",2010,"JP1987121835A"
"48","US10337404",2010,"US6840048"
"49","US10337404",2010,"US4733538"
"50","US10337404",2010,"US6390769"
"51","US10337404",2010,"US6929446"
"52","US10337404",2010,"US20050254944A1"
"53","US2427244",1944,"US2225769"
"54","US2427244",1944,"GB354888A"
"55","US2445661",1944,"US2326072"
"56","US2445661",1944,"US2282894"
"57","US2445661",1944,"US1346509"
"58","US2445661",1944,"US1331766"
"59","US2445661",1944,"US2080425"
"60","US2584899",1946,"US1325135"
"61","US2584899",1946,"US1680737"
"62","US2584899",1946,"FR29236E"
"63","US2584899",1946,"US2472062"
"64","US2584899",1946,"GB243974A"
"65","US2584899",1946,"GB542197A"
"66","US2584899",1946,"US1960810"
"67","US2584899",1946,"US2241782"
"68","US2584899",1946,"US2445661"
"69","US2584899",1946,"FR583702A"
"70","US2584899",1946,"US1873743"
"71","US2606741",1949,"US2427244"
"72","US2606741",1949,"US2488875"
"73","US2606741",1949,"DE687108A"
"74","US2606741",1949,"US1378464"
"75","US2606741",1949,"DE696062A"
"76","US2606741",1949,"US2564503"
"77","US2606741",1949,"US2432315"
"78","US2606741",1949,"US2527445"
"79","US2622843",1947,"US2459935"
"80","US2622843",1947,"US2445661"
"81","US2622843",1947,"US2415104"
"82","US2622843",1947,"US2412365"
"83","US2622843",1947,"CH111008A"
"84","US2622843",1947,"US2429936"
